company_name,company_yc_url,company_tagline,company_description,company_batch,company_company_type,company_industry_tags,company_country,company_location,company_website,company_founded,company_team_size,company_social_profiles_linkedin,company_social_profiles_twitter,company_social_profiles_facebook,company_social_profiles_crunchbase,founders
Resonance,https://www.ycombinator.com/companies/resonance,Optimally upsell users within your product,Resonance is an AI-driven platform that maximizes NRR through targeted in-product messaging.,W24,ACTIVE,"[""ARTIFICIAL-INTELLIGENCE"",""CUSTOMER-SUPPORT"",""ENTERPRISE-SOFTWARE"",""REINFORCEMENT-LEARNING"",""SAAS""]",United States,San Francisco,https://www.useresonance.com/,2023,1,https://www.linkedin.com/company/99332802/admin/feed/posts/,,,,"[{""name"":""Jonathan Ou"",""role"":"""",""description"":""Jonathan is the CEO of Resonance. Before Resonance, he worked at DoorDash on a voice AI to automatically place customer orders over the phone. Prior to DoorDash, he worked at Dropbox to help build an internal in-product messaging platform that generated $100 million ARR. Prior to Dropbox, he worked at Microsoft helping build a platform that enabled doctors and patients to meet virtually using Microsoft Teams."",""linkedin_profile"":""https://linkedin.com/in/jto98"",""twitter_profile"":""""}]"
Heroku,https://www.ycombinator.com/companies/heroku,Enabling developers to build and run applications in the cloud.,"Heroku, a Salesforce company and industry pioneer in platform as a service (PaaS), enables developers to build and run applications entirely in the cloud. Heroku provides companies from startups to Fortune 500 enterprises with a faster and more effective way to create, deploy, and manage apps.Heroku operates the worlds largest PaaS, continuously delivering millions of apps with 6+ million container deployments, 60+ billion routing requests, and 10+ terabytes of application logs per day.",W08,ACQUIRED,"[""Not Available""]",United States,San Francisco,http://heroku.com,2007,300,https://www.linkedin.com/company/heroku/,https://twitter.com/heroku,,https://www.crunchbase.com/organization/heroku,"[{""name"":""Orion Henry"",""role"":""Founder"",""description"":"""",""linkedin_profile"":"""",""twitter_profile"":""""},{""name"":""James Lindenbaum"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/jameslindenbaum"",""twitter_profile"":""""},{""name"":""Adam Wiggins"",""role"":""CTO"",""description"":"""",""linkedin_profile"":"""",""twitter_profile"":""""}]"
Abalone Bio,https://www.ycombinator.com/companies/abalone-bio,We discover antibody drugs others can't,"Abalone Bio developed a technology to find antibody drugs that activate and modulate cell surface receptors, the antennae on cells that help convert chemical signals into cellular responses, like growth. Antibodies are a growing class of drugs that have tremendous safety and efficacy advantages over small molecules; 7 of the top 10 selling drugs are antibodies, earning an average of $7B in revenue. However, antibodies- especially ones that activate and modulate cell surface receptors- are hard to find. Abalone Bio expands the playing field for antibody therapeutics and enables us to previously access treatments for untreated diseases.We have already discovered a novel antibody that activates a non-opioid receptor that produces analgesia. We are developing this antibody into a treatment for neuropathic pain  a medical condition that currently is treated with drugs like addictive opiates. The same molecule is also a potential treatment for inflammatory and fibrotic diseases, all 1B+ markets.",W20,ACTIVE,"[""DRUG-DISCOVERY"",""Machine Learning"",""SYNTHETIC-BIOLOGY""]",United States,"Emeryville, CA",https://www.abalonebio.com,2018,12,https://www.linkedin.com/company/18295627,,,https://www.crunchbase.com/organization/abalone-bio-inc,"[{""name"":""Richard Yu"",""role"":"""",""description"":""Rich has been in or around biotech startups since 2008, when co-founded GPB, an algae biofuel startup. He was also Scientific and Operations Director at MBC Biolabs, the leading biotech incubator in SF, and Principal at Mission Bay Capital, a life science VC fund. Prior, he was an investigator at The Molecular Sciences Institute studying how cells process information.PhD (2000) Molecular Biophysics and Biochemistry, YaleBA (1993) Biophysics and Computer Science (AI and Graphics), UC Berkeley"",""linkedin_profile"":""https://www.linkedin.com/in/richard-c-yu/"",""twitter_profile"":""""},{""name"":""Gustavo Pesce"",""role"":"""",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/gustavopesce/"",""twitter_profile"":""""}]"
Hive Health,https://www.ycombinator.com/companies/hive-health,Simplified digital health insurance for Filipino SMBs,,S21,ACTIVE,"[""DIGITAL-HEALTH"",""FINTECH"",""HEALTH-INSURANCE"",""PAYMENTS"",""TELEHEALTH""]",Philippines,Philippines,https://www.ourhivehealth.com,2021,,https://www.linkedin.com/company/our-hive-health,,,,"[{""name"":""Camille Ang"",""role"":"""",""description"":""CEO, Co-Founder at Hive Health"",""linkedin_profile"":""https://www.linkedin.com/in/camille-ang-19224647/"",""twitter_profile"":""https://twitter.com/camilletanang""},{""name"":""Jiawen Tang"",""role"":"""",""description"":""President & Co-Founder at Hive Health"",""linkedin_profile"":""https://www.linkedin.com/in/jiawentang/"",""twitter_profile"":""""}]"
Lalabox,https://www.ycombinator.com/companies/lalabox,Live stream shopping for beauty products,,W21,INACTIVE,"[""CONSUMER"",""E-COMMERCE""]",United States,San Francisco,https://lalabox.io,2021,4,,https://twitter.com/lalaboxio,,,"[{""name"":""Kirill Avery"",""role"":"""",""description"":""Kirill was the youngest employee at VK (Facebook of Eastern Europe), built HQ Trivia of Eastern Europe with 15m organic downloads at 16 and right after moved to the US (San Francisco). Kirill raised 2m+ in funding up to date and is building Lalabox."",""linkedin_profile"":""https://linkedin.com/in/kirillzzy"",""twitter_profile"":""https://twitter.com/kirillzzy""},{""name"":""Yurii Kyparus (Yatsenko)"",""role"":"""",""description"":""Ex-Facebook & Ex-Google.Built software for 1B+ users.https://kyparus.comContributed to:- Facebook Infra & Oculus- Google Play- Google Assistant- Google Maps- Google Cloud"",""linkedin_profile"":""https://www.linkedin.com/in/kyparus/"",""twitter_profile"":""https://twitter.com/kyparus""}]"
SafetyKit,https://www.ycombinator.com/companies/safetykit,AI-Powered Trust and Safety Automation,"SafetyKit replaces human Trust and Safety reviewers with language models.We make it easy for enterprise Trust and Safety teams to supercharge their content review workflows  speeding up agent decision-making 5x or by automating the review altogether  and significantly reduce operations costs with faster, more accurate decisions.With SafetyKit, Trust and Safety teams write their policies in natural language and use them to detect and action nefarious content, instantly.  Each decision is accompanied by an explanation grounded in your policies  not a generic definition or model score.  We allow TnS teams to confidently scale their capacity, freeing up your agents for the highest leverage work, while reducing those agents exposure to problematic content.",S23,ACTIVE,"[""Not Available""]",Not Available,,https://www.safetykit.com/,2023,3,,,,,"[{""name"":""David Graunke"",""role"":"""",""description"":""David led engineering for risk reviewes at Stripe for fraud, credit, content moderation, and financial crimes. He built the policy and workflow engine that scaled Stripe from internal reviewers to thousands of outsourced vendor agents."",""linkedin_profile"":""https://linkedin.com/in/david-graunke-46790429"",""twitter_profile"":""""},{""name"":""Steven Guichard"",""role"":"""",""description"":""Steven is a cofounder of SafetyKit, working to replace human trust and safety reviewers with language models.Previously he worked at Carbic as the first software engineer and later as the CEO. There he helped build ultrasonic flow sensors which were installed on oil pipelines and offshore rigs around the world.Steven also cofounded Thomas Street, a software design and engineering consultancy, where he worked with companies like Cisco, Roche, and DirecTV."",""linkedin_profile"":""https://linkedin.com/in/stevenguichard"",""twitter_profile"":""""},{""name"":""Alex Rosenblatt"",""role"":"""",""description"":""Previous: 10 years as product manager at Airbnb, Stripe, and Meta building scalable and resilient enforcement platforms for Trust and Safety  my teams worked across the risk spectrum  from fraud to offline safety   building frameworks, automation, and agent tooling.  Now: launching SafetyKit to put automation in the hands of Operations teams  focusing first on making it simple for Trust and Safety teams to utilize LLMs to automate enforcement."",""linkedin_profile"":""https://linkedin.com/in/alexrosenblatt"",""twitter_profile"":""""}]"
Weave,https://www.ycombinator.com/companies/weave-2,AI-assisted professional networking.,"Weave delivers a personalized professional introduction every week (YCS14)Follow us :)Twitter: @startweaving, #startweavingFacebook: weavenetworkingWebsite: http://www.weave.in/Email: lisa@weave.inHappy Weaving!The Weave Team",S14,INACTIVE,"[""SAAS""]",United States,San Francisco,http://weave.in,,11,,,,https://www.crunchbase.com/organization/weave-2,"[{""name"":""Brian Ma"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/zealoustiger"",""twitter_profile"":""""}]"
FidoCure®,https://www.ycombinator.com/companies/fidocure,FidoCure is the leader in Precision Medicine for Canine Oncology.,"Cancer is a genetic disease. We know this from decades of human and veterinary cancer research. Precision medicine and targeted therapies are successfully used to treat humans with cancer. At FidoCure, we bring this approach to the world of veterinary medicine. FidoCure empowers veterinarians to offer genetic sequencing and targeted therapies to treat dogs with cancer. We are committed to expanding the veterinary oncology toolbox for both diagnostics and therapeutics. Our veterinary partners have treated thousands of dogs over the past 30 years and work closely with the growing FidoCure network of over 143 clinics and 180 forward-thinking veterinary oncologists throughout the US.Together, we can combat canine cancer!",W18,ACTIVE,"[""ONCOLOGY""]",United States,Palo Alto,https://www.fidocure.com/,,14,https://www.linkedin.com/company/the-one-health-company/,https://twitter.com/fidocure,https://www.facebook.com/FidoCure/,https://www.crunchbase.com/organization/the-one-health-company,"[{""name"":""Christina K. Lopes"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/christina-lopes-8679455/"",""twitter_profile"":""""}]"
Persana AI,https://www.ycombinator.com/companies/persana-ai,Intelligent sales copilot powered by fine tuned models,"Persana AI is an intelligent sales copilot powered by our own custom fine tuned models. We ingest all of a companys internal CRM data, combine it with public web sources on each of their prospects, and give them insights on who to prioritize based on crucial intent signals so that they capture ripe opportunities . For instance, when a lead visits the company website or gets funding, Persana AI can notify the sales team and generate an email to send out right away.",W23,ACTIVE,"[""ARTIFICIAL-INTELLIGENCE"",""GENERATIVE-AI"",""SALES""]",United States,San Francisco,https://www.persana.ai/,2023,2,https://www.linkedin.com/company/persana-ai/?viewAsMember=true,https://twitter.com/PersanaAi,,,"[{""name"":""Sriya Maram"",""role"":"""",""description"":""Cofounder and CEO at Persana AI. I've previously been a PM at Linkedin working on customer data and have built a successful generative AI tool in the past. I'm now focused on helping businesses leverage the incredible power of AI and making it more accessible."",""linkedin_profile"":""https://www.linkedin.com/in/sriyam"",""twitter_profile"":""https://www.twitter.com/tweetsreez""},{""name"":""Rush Shahani"",""role"":"""",""description"":""Co-Founder of Persana AI. I've been an AI Engineer focused on NLP for the last 5 years. Prev experience: LinkedIn, ElementAI (acquired), Shopify"",""linkedin_profile"":""https://www.linkedin.com/in/rusheelshahani/"",""twitter_profile"":""https://twitter.com/RushShahani""}]"
CarDash,https://www.ycombinator.com/companies/cardash,Managed marketplace for automotive services.,"Taking care of your car doesnt need to be a painful or archaic experience. CarDash picks up your car from home or work, oversees the work, and returns your car to you. We also offer upfront and transparent pricing and serve as your advocate so you are never overcharged. We are on the verge of a major transformation in our relationship with the automobile. Connected cars, self-driving cars, mainstream electric vehicles, and new economic models of car ownership are all coming within the next decade. These could bring about a transportation revolution as disruptive as the adoption of the automobile itself. We dont know how or when these changes will unfold, nor do we know which technologies will triumph. We do however know that all cars on the road will need to be serviced, regardless of who owns them, who drives them, or what powers them. By leveraging technology, logistical efficiency, and above allsuperior service, CarDash aspires to become the service platform for the automotive industry of tomorrow.",S17,ACQUIRED,"[""MARKETPLACE""]",United States,"Menlo Park, CA",https://www.repairsmith.com,2016,12,,,,https://www.crunchbase.com/organization/cardash,"[{""name"":""Yinon Weiss"",""role"":""CEO"",""description"":"""",""linkedin_profile"":""http://www.yinonweiss.com"",""twitter_profile"":""""}]"
Hubla,https://www.ycombinator.com/companies/chatpay,The platform to create an online coaching business,Chatpay allows anyone to create an online coaching business through WhatsApp or Telegram groups. For example a fitness coach can charge her audience to join an exclusive group where she will run an entire weight loss fitness program.Covid killed lots of jobs and brought the need for people to reinvent themselves. This accelerated a larger trend of individuals building and charging their audience directly. Our top coach left her job as a lawyer and it's making $300k per year with her groups in BrazilChatPay is set to be the largest enabler of this new behavior because we are the only one reaching normal people where they actually are - on messenger apps. Chat wins over long-format content and has better engagement which makes it easier to become mainstream.,S20,ACTIVE,"[""FINTECH"",""MARKETPLACE"",""SAAS""]",Brazil,Brazil,https://chatpay.com.br,2020,7,,,,,"[{""name"":""Arthur Alvarenga"",""role"":"""",""description"":""Software engineer and product design."",""linkedin_profile"":""https://www.linkedin.com/in/arthur-alvarenga-0623b193/"",""twitter_profile"":""""},{""name"":""Breno Oliveira"",""role"":"""",""description"":""Breno is co-founder of Hubla (YCombinator S20). Breno has a large experience (since 1993) in product and software development. He was the creator of nFlog (2004) converting more than 15k users in the first month. His project RemotePark, app for finding parking lot available nearby, gave him the StartupFarm award in 2011. Breno also was co-founder of RBM Solutions, a performance marketing company, the first using pay per install (PPI) in Brazil."",""linkedin_profile"":""https://linkedin.com/in/breno-lima-38a09922"",""twitter_profile"":""""},{""name"":""Bernardo Reis"",""role"":"""",""description"":""Always looking for a better way to solve real life problem with software, I'm passionate about creating tools and services that improve people's lives. To do that I'm always looking for the techinical knowledge to create and use good architectures so that systems can grow in a healthy way.I am an Android, but I also have a wide experience in developing servers in Kotlin, Java and Python. I have also used Flutter for Android and iOS applications and React for web apps."",""linkedin_profile"":""https://www.linkedin.com/in/bernardo-reis-22255659/"",""twitter_profile"":""""},{""name"":""Raphael Capelo"",""role"":"""",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/raphael-capel%C3%A3o-052759135/"",""twitter_profile"":""""}]"
Conduit,https://www.ycombinator.com/companies/conduit,Software for warehouses to automate schedules with trucks.,"ConduitOpenTable for warehousesmakes software for warehouses to automate scheduling with truckers. Every day, hundreds of thousands of warehouses have trucks waiting in lines because scheduling and check in is currently done with email, spreadsheets and paper. Conduit automates these processes to help trucks get in and out faster and warehouses get products in and out faster. Conduit is easy to integrate with shipper transportation and warehouse management systems, as well as carrier and broker systems.",W23,ACTIVE,"[""B2B"",""ENTERPRISE-SOFTWARE"",""LOGISTICS"",""SAAS"",""TRANSPORTATION""]",United States,San Francisco,http://helloconduit.com,2023,4,https://www.linkedin.com/company/getconduit/,,,,"[{""name"":""Conrad Lilleness"",""role"":"""",""description"":""Conrad Lilleness is the co-founder and CEO of Conduit, which he started with Saba Khalilnaji in 2022. Conrad leads sales, customer support, and product. He received a bachelor of science in finance from Westminster College in Salt Lake City, Utah and is originally from Seattle, Washington."",""linkedin_profile"":""https://www.linkedin.com/in/conradlilleness/"",""twitter_profile"":""""}]"
Posh,https://www.ycombinator.com/companies/posh,Making sustainable batteries,"We design, develop and manufacture sustainable battery solutions.",W22,ACTIVE,"[""Climate Tech"",""Energy"",""ROBOTICS""]",United States,San Francisco,https://www.poshrobotics.com/,2022,4,https://www.linkedin.com/company/posh-robotics,https://twitter.com/PoshElectric,,https://www.crunchbase.com/organization/posh-2ec7,"[{""name"":""Wesley Zheng"",""role"":"""",""description"":""Previously co-founder of Volansi (YC W'17, $75M raised), Stanford PhD focusing on batteries. Named Innovator Under 35 by MIT Technology Review"",""linkedin_profile"":""https://www.linkedin.com/in/wesley-zheng"",""twitter_profile"":""""},{""name"":""Minh Chung Hoang"",""role"":"""",""description"":""Love building things that people love.Roboticist at heart! Built all sorts of bots (underwater, above water, ground, above ground, etc.).Graduated with Aerospace engineering degree. Had years of experience in robotics, embedded systems and computer vision."",""linkedin_profile"":""https://www.linkedin.com/in/chung-hoang/"",""twitter_profile"":""""}]"
